Carrera;Anio;Quien;Puntos;Puesto;Puntos_ganador
Strade Bianche;2021;Beniat;751;5982;1229
Strade Bianche;2021;Iker;637;7229;1229
Strade Bianche;2021;Manu;779;5367;1229
Strade Bianche;2021;Martin;1205;2;1229
Paris-Niza;2021;Beniat;2269;2140;3208
Paris-Niza;2021;Iker;1383;7372;3208
Paris-Niza;2021;Manu;1674;6584;3208
Paris-Niza;2021;Martin;2135;3286;3208
Tirreno-Adriatikoa;2021;Beniat;2657;362;2951
Tirreno-Adriatikoa;2021;Iker;2302;4238;2951
Tirreno-Adriatikoa;2021;Manu;0;99999;2951
Tirreno-Adriatikoa;2021;Martin;2450;2444;2951
Milan-Sanremo;2021;Beniat;656;152;921
Milan-Sanremo;2021;Iker;668;118;921
Milan-Sanremo;2021;Manu;425;3942;921
Milan-Sanremo;2021;Martin;386;4954;921
Kataluniako Volta;2021;Beniat;1297;3649;2370
Kataluniako Volta;2021;Iker;1149;5386;2370
Kataluniako Volta;2021;Manu;1004;6625;2370
Kataluniako Volta;2021;Martin;1919;157;2370
Flandriako Tourra;2021;Beniat;468;5483;937
Flandriako Tourra;2021;Iker;733;533;937
Flandriako Tourra;2021;Manu;484;5184;937
Flandriako Tourra;2021;Martin;642;2164;937
Euskal Herriko Itzulia;2021;Beniat;1668;5215;2644
Euskal Herriko Itzulia;2021;Iker;2172;829;2644
Euskal Herriko Itzulia;2021;Manu;1785;3821;2644
Euskal Herriko Itzulia;2021;Martin;1636;5614;2644
Ardenetako Hirukoa;2021;Beniat;1406;5895;2147
Ardenetako Hirukoa;2021;Iker;1748;2044;2147
Ardenetako Hirukoa;2021;Manu;1863;860;2147
Ardenetako Hirukoa;2021;Martin;1660;3156;2147
Romandiako Tourra;2021;Beniat;2307;1734;2850
Romandiako Tourra;2021;Iker;2241;2254;2850
Romandiako Tourra;2021;Manu;1350;8046;2850
Romandiako Tourra;2021;Martin;2621;74;2850
Italiako Giroa;2021;Beniat;5476;6699;7561
Italiako Giroa;2021;Iker;5462;6854;7561
Italiako Giroa;2021;Manu;5632;5194;7561
Italiako Giroa;2021;Martin;5348;7888;7561
Dauphine Kriteriuma;2021;Beniat;2928;746;3724
Dauphine Kriteriuma;2021;Iker;2468;3566;3724
Dauphine Kriteriuma;2021;Manu;2391;4127;3724
Dauphine Kriteriuma;2021;Martin;3077;340;3724
Suizako Tourra;2021;Beniat;1907;4131;2816
Suizako Tourra;2021;Iker;1962;3487;2816
Suizako Tourra;2021;Manu;1927;3876;2816
Suizako Tourra;2021;Martin;2392;396;2816
Frantziako Tourra;2021;Beniat;5592;6065;8187
Frantziako Tourra;2021;Iker;4127;14574;8187
Frantziako Tourra;2021;Manu;5329;7829;8187
Frantziako Tourra;2021;Martin;4676;11689;8187
Olinpiar Jokoak;2021;Beniat;1297;2289;1747
Olinpiar Jokoak;2021;Iker;0;99999;1747
Olinpiar Jokoak;2021;Manu;1282;2589;1747
Olinpiar Jokoak;2021;Martin;1571;82;1747
Donostiako Klasikoa;2021;Beniat;480;2418;975
Donostiako Klasikoa;2021;Iker;231;7228;975
Donostiako Klasikoa;2021;Manu;0;99999;975
Donostiako Klasikoa;2021;Martin;511;1933;975
Espainiako Vuelta;2021;Beniat;4969;13507;8858
Espainiako Vuelta;2021;Iker;4931;13670;8858
Espainiako Vuelta;2021;Manu;5574;10138;8858
Espainiako Vuelta;2021;Martin;6723;2555;8858
Munduko Txapelketa;2021;Beniat;1393;809;1750
Munduko Txapelketa;2021;Iker;1295;1765;1750
Munduko Txapelketa;2021;Manu;1061;5186;1750
Munduko Txapelketa;2021;Martin;1197;3240;1750
Paris-Roubaix;2021;Beniat;555;835;856
Paris-Roubaix;2021;Iker;556;789;856
Paris-Roubaix;2021;Manu;441;2839;856
Paris-Roubaix;2021;Martin;371;4256;856
Lombardia;2021;Beniat;750;451;1068
Lombardia;2021;Iker;416;5968;1068
Lombardia;2021;Manu;622;2224;1068
Lombardia;2021;Martin;840;107;1068
Strade Bianche;2022;Beniat;0;99999;1024
Strade Bianche;2022;Iker;382;6830;1024
Strade Bianche;2022;Manu;330;7498;1024
Strade Bianche;2022;Martin;482;4935;1024
Paris-Niza;2022;Beniat;2447;3996;3163
Paris-Niza;2022;Iker;3109;7;3163
Paris-Niza;2022;Manu;0;99999;3163
Paris-Niza;2022;Martin;2662;1832;3163
Tirreno-Adriatikoa;2022;Beniat;1948;3074;2805
Tirreno-Adriatikoa;2022;Iker;1767;5145;2805
Tirreno-Adriatikoa;2022;Manu;1941;3167;2805
Tirreno-Adriatikoa;2022;Martin;2137;1116;2805
Milan-Sanremo;2022;Beniat;380;5242;1034
Milan-Sanremo;2022;Iker;180;8258;1034
Milan-Sanremo;2022;Manu;265;7527;1034
Milan-Sanremo;2022;Martin;513;2596;1034
Kataluniako Volta;2022;Beniat;1816;1415;2581
Kataluniako Volta;2022;Iker;1068;6096;2581
Kataluniako Volta;2022;Manu;1423;3720;2581
Kataluniako Volta;2022;Martin;1624;2527;2581
Flandriako Hirukoa;2022;Beniat;729;6867;2073
Flandriako Hirukoa;2022;Iker;1100;3494;2073
Flandriako Hirukoa;2022;Manu;921;5654;2073
